experiment	cell	reads	length	unique	multimap	nomap	exonic	intronic	intergenic	rpkm1	max-correlation
SS2_15_0049	SS2_15_0049_I3	552004	43	47.0	12.3	40.7	69.3	6.6	24.2	4294	0.56
SS2_15_0049	SS2_15_0049_I4	297973	43	54.4	13.5	32.1	67.2	20.0	12.8	5076	0.61
SS2_15_0049	SS2_15_0049_I5	605279	43	55.9	15.4	28.7	71.7	5.9	22.4	4884	0.59
SS2_15_0049	SS2_15_0049_I6	517855	43	61.9	12.6	25.5	73.2	7.2	19.6	5705	0.65
SS2_15_0049	SS2_15_0049_I7	646754	43	37.3	7.8	54.9	61.7	9.4	28.9	2701	0.45
SS2_15_0049	SS2_15_0049_I8	318619	43	22.6	4.8	72.6	59.0	3.9	37.1	704	0.28
SS2_15_0049	SS2_15_0049_I9	736849	43	46.9	11.7	41.5	69.8	6.2	24.0	3680	0.53
SS2_15_0049	SS2_15_0049_J1	497338	43	35.2	7.7	57.0	51.8	35.8	12.4	2294	0.42
SS2_15_0049	SS2_15_0049_J10	624171	43	33.6	10.2	56.1	52.3	17.9	29.8	2674	0.45
SS2_15_0049	SS2_15_0049_J11	586034	43	20.0	3.8	76.2	51.9	5.0	43.1	1146	0.32
SS2_15_0049	SS2_15_0049_J12	756570	43	54.5	12.6	32.9	71.4	5.6	23.0	4946	0.59
SS2_15_0049	SS2_15_0049_J13	739521	43	61.2	13.1	25.7	74.5	5.7	19.7	5164	0.62
SS2_15_0049	SS2_15_0049_J14	610660	43	58.3	13.1	28.6	71.9	6.6	21.5	5061	0.60
SS2_15_0049	SS2_15_0049_J15	453072	43	51.1	11.7	37.2	50.6	28.7	20.6	3996	0.50
SS2_15_0049	SS2_15_0049_J16	731028	43	49.4	10.6	40.0	70.3	5.4	24.3	4096	0.55
SS2_15_0049	SS2_15_0049_J17	605970	43	43.4	9.5	47.0	68.6	17.4	14.0	3497	0.52
SS2_15_0049	SS2_15_0049_J18	588905	43	55.1	13.9	31.0	69.7	7.9	22.4	5142	0.61
SS2_15_0049	SS2_15_0049_J19	607242	43	54.9	11.8	33.3	68.3	10.1	21.6	4618	0.57
SS2_15_0049	SS2_15_0049_J2	378559	43	61.6	11.1	27.2	73.7	5.8	20.5	5080	0.61
SS2_15_0049	SS2_15_0049_J20	548011	43	60.2	15.3	24.5	71.4	7.1	21.4	6131	0.65
SS2_15_0049	SS2_15_0049_J21	763259	43	66.1	13.8	20.1	73.4	6.9	19.7	6406	0.67
SS2_15_0049	SS2_15_0049_J22	920003	43	50.5	10.2	39.4	68.5	8.1	23.4	4210	0.55
SS2_15_0049	SS2_15_0049_J23	572413	43	65.0	13.4	21.6	75.5	4.2	20.2	5789	0.66
SS2_15_0049	SS2_15_0049_J24	604763	43	19.8	3.7	76.5	51.0	3.9	45.2	686	0.30
SS2_15_0049	SS2_15_0049_J3	729013	43	61.7	11.9	26.4	75.5	3.6	20.9	5185	0.64
